nama,latitude,longitude
Kota Serang,-6.1104,106.1605
Kota Cilegon,-6.0118,106.0118
Kab. Serang,-6.1550,106.0236
Kab. Lebak,-6.5975,106.2411
Kab. Pandeglang,-6.3084,105.9082
Kab. Tangerang,-6.1950,106.4950
