nama,latitude,longitude
Jakarta Pusat,-6.1805,106.8284
Jakarta Utara,-6.1214,106.8846
Jakarta Timur,-6.2250,106.9004
Jakarta Selatan,-6.2715,106.8058
Jakarta Barat,-6.1674,106.7637
Kepulauan Seribu,-5.6122,106.5622
