nama,latitude,longitude
Kota Surabaya,-7.2575,112.7521
Kota Malang,-7.9839,112.6214
Kota Batu,-7.8700,112.5200
Kab. Banyuwangi,-8.2192,114.3691
Kab. Sidoarjo,-7.4478,112.7183
Kab. Gresik,-7.1592,112.6519
