nama,latitude,longitude
Kota Yogyakarta,-7.7956,110.3695
Kab. Sleman,-7.7233,110.3533
Kab. Bantul,-7.8997,110.3297
Kab. Gunung Kidul,-7.9944,110.5977
Kab. Kulon Progo,-7.8428,110.1472
