nama,latitude,longitude
Kota Bandung,-6.9175,107.6191
Kota Bogor,-6.5971,106.8060
Kota Depok,-6.4025,106.7942
Kota Bekasi,-6.2383,106.9756
Kota Tangerang,-6.1783,106.6319
Kota Tangerang Selatan,-6.2886,106.7179
Kab. Bandung,-7.0234,107.5197
Kab. Bogor,-6.4797,106.8249
Kab. Bekasi,-6.3643,107.1719
Kab. Sukabumi,-6.9277,106.9300
Kab. Cianjur,-6.8222,107.1394
Kab. Karawang,-6.3000,107.3000
