name,latitude,longitude
Banten,-6.4058,106.0640
Jawa Barat,-7.0909,107.6689
DKI Jakarta,-6.2088,106.8456
Jawa Tengah,-7.1509,110.1402
DI Yogyakarta,-7.8753,110.4262
Jawa Timur,-7.5360,112.2384
Bali,-8.4095,115.1889
