name,latitude,longitude
Aceh,4.6951,96.7494
Sumatera Utara,2.1121,99.1987
Sumatera Barat,-0.7399,100.8000
Riau,0.5071,101.5471
Kepulauan Riau,3.9457,108.1429
Jambi,-1.4852,102.4381
Bengkulu,-3.7928,102.2608
Sumatera Selatan,-3.3194,104.9147
Kepulauan Bangka Belitung,-2.7410,106.4406
Lampung,-4.5586,105.4000
