name,latitude,longitude
Kalimantan Barat,-0.2789,111.4753
Kalimantan Tengah,-1.6815,113.3824
Kalimantan Selatan,-3.0926,115.2838
Kalimantan Timur,0.5387,116.4194
Kalimantan Utara,3.0731,116.0414
